Residual,Connection,Atom,Shift,Residual Num
A-D-GLCPN, ,H1,5.65,1
A-D-GLCPN, ,H2,3.4,1
A-D-GLCPN, ,H3,3.89,1
A-D-GLCPN, ,H4,3.63,1
A-D-GLCPN, ,H5,4.15,1
A-D-GLCPN, ,H6 a,4.28,1
A-D-GLCPN, ,H6 b,3.75,1
B-D-GLCP,6,H3,4.85,2
B-D-GLCP,6,H4,3.03,2
B-D-GLCP,6,H5,3.94,2
B-D-GLCP,6,H6,3.81,2
B-D-GLCP,6,H7,3.71,2
B-D-GLCP,6,H29,3.46,2
A-D-KDOP," 6, 6",H3 ax,1.82,3
A-D-KDOP," 6, 6",H3 eq,2.17,3
A-D-KDOP," 6, 6",H4,4.23,3
A-D-KDOP," 6, 6",H5,4.3,3
A-D-KDOP," 6, 6",H6,3.73,3
A-D-KDOP," 6, 6",H7,3.91,3
A-D-KDOP," 6, 6",H8 a,3.9,3
A-D-KDOP," 6, 6",H8 b,3.67,3
A-D-KDOP," 6, 6, 4",H3 ax,1.84,4
A-D-KDOP," 6, 6, 4",H3 eq,2.23,4
A-D-KDOP," 6, 6, 4",H4,4.15,4
A-D-KDOP," 6, 6, 4",H5,4.3,4
A-D-KDOP," 6, 6, 4",H6,3.67,4
A-D-KDOP," 6, 6, 4",H7,3.98,4
A-D-KDOP," 6, 6, 4",H8 a,3.88,4
A-D-KDOP," 6, 6, 4",H8 b,3.66,4
A-D-GALP," 6, 6, 5",H1,5.27,5
A-D-GALP," 6, 6, 5",H2,3.57,5
A-D-GALP," 6, 6, 5",H3,3.93,5
A-D-GALP," 6, 6, 5",H4,4.36,5
A-D-GALP," 6, 6, 5",H5,4.21,5
A-D-GALP," 6, 6, 5",H6 a,4.19,5
A-D-GALP," 6, 6, 5",H6 b,4.11,5
B-D-GLCP," 6, 6, 5, 4",H1,4.52,6
B-D-GLCP," 6, 6, 5, 4",H2,3.3,6
B-D-GLCP," 6, 6, 5, 4",H3,3.52,6
B-D-GLCP," 6, 6, 5, 4",H4,3.39,6
B-D-GLCP," 6, 6, 5, 4",H5,3.44,6
B-D-GLCP," 6, 6, 5, 4",H6 a,3.72,6
B-D-GLCP," 6, 6, 5, 4",H6 b,3.9,6
B-D-GLCPAN," 6, 6, 5, 4, 3",H1,4.58,7
B-D-GLCPAN," 6, 6, 5, 4, 3",H2,3.38,7
B-D-GLCPAN," 6, 6, 5, 4, 3",H3,3.49,7
B-D-GLCPAN," 6, 6, 5, 4, 3",H4,3.47,7
B-D-GLCPAN," 6, 6, 5, 4, 3",H5,3.84,7
A-D-GALPAN," 6, 6, 5, 6",H1,5.42,8
A-D-GALPAN," 6, 6, 5, 6",H2,3.86,8
A-D-GALPAN," 6, 6, 5, 6",H3,4.34,8
A-D-GALPAN," 6, 6, 5, 6",H4,5.81,8
A-D-GLCPN, ,C1,91.9,1
A-D-GLCPN, ,C2,55.8,1
A-D-GLCPN, ,C3,71.0,1
A-D-GLCPN, ,C4,71.0,1
A-D-GLCPN, ,C5,73.6,1
A-D-GLCPN, ,C6,71.0,1
B-D-GLCP,6,C1,101.0,2
B-D-GLCP,6,C2,56.9,2
B-D-GLCP,6,C3,71.5,2
B-D-GLCP,6,C4,73.8,2
B-D-GLCP,6,C5,75.6,2
B-D-GLCP,6,C6,63.9,2
A-D-KDOP," 6, 6",C1,35.0,3
A-D-KDOP," 6, 6",C2,69.5,3
A-D-KDOP," 6, 6",C3,70.2,3
A-D-KDOP," 6, 6",C4,73.8,3
A-D-KDOP," 6, 6",C5,70.8,3
A-D-KDOP," 6, 6",C6,64.6,3
A-D-KDOP," 6, 6, 4",C1,35.0,4
A-D-KDOP," 6, 6, 4",C2,66.5,4
A-D-KDOP," 6, 6, 4",C3,68.4,4
A-D-KDOP," 6, 6, 4",C4,74.0,4
A-D-KDOP," 6, 6, 4",C5,70.5,4
A-D-KDOP," 6, 6, 4",C6,64.7,4
A-D-GALP," 6, 6, 5",C1,100.5,5
A-D-GALP," 6, 6, 5",C2,72.9,5
A-D-GALP," 6, 6, 5",C3,72.0,5
A-D-GALP," 6, 6, 5",C4,76.8,5
A-D-GALP," 6, 6, 5",C5,69.6,5
A-D-GALP," 6, 6, 5",C6,68.3,5
B-D-GLCP," 6, 6, 5, 4",C1,103.6,6
B-D-GLCP," 6, 6, 5, 4",C2,74.5,6
B-D-GLCP," 6, 6, 5, 4",C3,81.0,6
B-D-GLCP," 6, 6, 5, 4",C4,71.1,6
B-D-GLCP," 6, 6, 5, 4",C5,76.9,6
B-D-GLCP," 6, 6, 5, 4",C6,61.9,6
B-D-GLCPAN," 6, 6, 5, 4, 3",C1,103.3,7
B-D-GLCPAN," 6, 6, 5, 4, 3",C2,73.1,7
B-D-GLCPAN," 6, 6, 5, 4, 3",C3,73.0,7
B-D-GLCPAN," 6, 6, 5, 4, 3",C4,73.3,7
B-D-GLCPAN," 6, 6, 5, 4, 3",C5,74.0,7
A-D-GALPAN," 6, 6, 5, 6",C1,100.7,8
A-D-GALPAN," 6, 6, 5, 6",C2,71.6,8
A-D-GALPAN," 6, 6, 5, 6",C3,67.2,8
A-D-GALPAN," 6, 6, 5, 6",C4,108.3,8
A-D-GALPAN," 6, 6, 5, 6",C5,149.2,8
A-D-GALPAN," 6, 6, 5, 6",C6,171.2,8
