DGalpb1-4(LFucpa1-3)DGlcpNAcb1-6(LFucpa1-4(LFucpa1-2DGalpb1-3)DGlcpNAcb1-3)DGalpb1-4DGlcpb1-OME / α-l-Fucix (1→2) β-d-Galviii (1→3) [α-l-Fucvii (1→4) ]β-d-GlcNAcvi (1→3) [α-l-Fucv (1→3) [β-d-Galiv (1→4) ]β-d-GlcNAciii (1→6) ]β-d-Galii (1→4) β-d-GlcOMei,,,,,,,,,,,
,,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1,
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91,
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58,
"→3,6) β-d-Galii (1→",103.69,70.83,82.66,69.11,74.25,69.54,,,,,
Expected Calc. Error: 0.17,4.45,3.62,3.72,4.12,3.81,3.8,4.05,,,,
"→3,4) β-d-GlcNAciii (1→",101.95,56.53,75.63,74.54,76.33,60.84,,23.08,174.98,,
Expected Calc. Error: 1.17,4.63,3.92,3.93,3.92,3.63,3.88,4.03,2.04,,,
β-d-Galiv (1→,102.71,72,73.52,69.22,75.72,62.17,,,,,
Expected Calc. Error: 0.50,4.46,3.51,3.66,3.93,3.61,3.74,3.74,,,,
α-l-Fucv (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,,
"→3,4) β-d-GlcNAcvi (1→",103.92,56.97,72.19,73.18,76.36,61.41,,23.36,175.54,,
Expected Calc. Error: 0.85,4.65,3.91,4.29,3.73,3.57,3.88,3.97,2.03,,,
α-l-Fucvii (1→,98.81,68.83,70.14,72.85,67.59,16.22,,,,,
Expected Calc. Error: 0.85,5.03,3.82,3.89,3.8,4.78,1.21,,,,,
→2) β-d-Galviii (1→,100.27,77.35,74.45,69.83,75.21,61.73,,,,,
Expected Calc. Error: 0.00,4.74,3.57,3.82,3.91,3.56,3.82,3.9,,,,
α-l-Fucix (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,,
Expected Calc. Error: 0.00,5.21,3.8,3.71,3.78,4.3,1.2,,,,,
,,,,,,,,,,,
