Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
ATOM,1,C1,DGalNAc,1,1.374,-0.843,0.163,99.24
ATOM,2,C2,DGalNAc,1,0.732,-0.633,1.531,49.49
ATOM,3,C3,DGalNAc,1,-0.774,-0.827,1.489,78.15
ATOM,4,C4,DGalNAc,1,-1.383,-0.008,0.373,69.53
ATOM,5,C5,DGalNAc,1,-0.678,-0.325,-0.946,71.27
ATOM,6,C6,DGalNAc,1,-1.184,0.452,-2.142,62.06
ATOM,7,O3,DGalNAc,1,-1.327,-0.399,2.74,-1.0
ATOM,8,O5,DGalNAc,1,0.712,0.002,-0.787,-1.0
ATOM,9,O6,DGalNAc,1,-1.053,1.853,-1.957,-1.0
ATOM,11,HO6,DGalNAc,1,-0.537,2.574,-2.59,-1.0
ATOM,12,O1,DGalNAc,1,1.334,-2.177,-0.328,-1.0
ATOM,13,O4,DGalNAc,1,-1.232,1.349,0.769,-1.0
ATOM,14,HO4,DGalNAc,1,-1.746,1.512,1.716,-1.0
ATOM,15,H5,DGalNAc,1,-0.817,-1.344,-1.181,3.94
ATOM,16,H61,DGalNAc,1,-1.016,0.327,-3.117,3.78
ATOM,17,H62,DGalNAc,1,-2.205,0.241,-2.273,3.78
ATOM,18,H1,DGalNAc,1,2.439,-0.615,0.222,4.8
ATOM,19,H2,DGalNAc,1,0.959,0.386,1.842,4.35
ATOM,20,H3,DGalNAc,1,-0.989,-1.883,1.324,4.0
ATOM,21,H4,DGalNAc,1,-2.439,-0.224,0.209,4.23
ATOM,22,NM,DGalNAc,1,1.31,-1.554,2.447,-1.0
ATOM,23,CM,DGalNAc,1,2.024,-1.094,3.523,-1.0
ATOM,24,CM2,DGalNAc,1,2.585,-2.191,4.407,-1.0
ATOM,25,OM,DGalNAc,1,2.212,0.083,3.768,-1.0
ATOM,26,HM1,DGalNAc,1,1.192,-2.567,2.302,-1.0
ATOM,27,HM2,DGalNAc,1,3.146,-1.76,5.268,-1.0
ATOM,28,HM3,DGalNAc,1,3.286,-2.834,3.826,-1.0
ATOM,29,HM4,DGalNAc,1,1.762,-2.822,4.813,-1.0
ATOM,30,CM,DGalNAc,1,1.958,-2.282,-1.609,-1.0
ATOM,31,HM1,DGalNAc,1,1.797,-3.264,-2.006,-1.0
ATOM,32,HM2,DGalNAc,1,3.008,-2.106,-1.507,-1.0
ATOM,33,HM3,DGalNAc,1,1.538,-1.555,-2.273,-1.0
ATOM,34,C5,BGAL,2,-4.004,-2.846,3.19,75.83
ATOM,35,H5,BGAL,2,-3.406,-3.777,3.218,3.66
ATOM,36,O5,BGAL,2,-3.183,-1.78,2.647,-1.0
ATOM,37,C1,BGAL,2,-1.979,-1.44,3.392,105.28
ATOM,38,H1,BGAL,2,-1.314,-2.32,3.424,4.48
ATOM,41,C2,BGAL,2,-2.355,-1.017,4.831,71.64
ATOM,42,H2,BGAL,2,-2.92,-0.064,4.788,3.55
ATOM,43,O2,BGAL,2,-1.185,-0.81,5.588,-1.0
ATOM,44,HO2,BGAL,2,-1.466,-0.529,6.479,-1.0
ATOM,45,C3,BGAL,2,-3.242,-2.086,5.513,73.55
ATOM,46,H3,BGAL,2,-2.627,-2.991,5.687,3.63
ATOM,47,O3,BGAL,2,-3.692,-1.609,6.757,-1.0
ATOM,48,HO3,BGAL,2,-4.219,-2.323,7.162,-1.0
ATOM,49,C4,BGAL,2,-4.456,-2.49,4.639,69.53
ATOM,50,H4,BGAL,2,-4.979,-3.346,5.111,3.93
ATOM,51,O4,BGAL,2,-5.346,-1.4,4.577,-1.0
ATOM,52,HO4,BGAL,2,-5.603,-1.187,5.492,-1.0
ATOM,53,C6,BGAL,2,-5.186,-3.077,2.206,61.85
ATOM,54,H61,BGAL,2,-4.794,-3.204,1.19,3.77
ATOM,55,O6,BGAL,2,-5.928,-4.226,2.554,-1.0
ATOM,56,HO6,BGAL,2,-6.628,-4.309,1.903,-1.0
ATOM,57,H62,BGAL,2,-5.841,-2.201,2.188,3.77
