Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
HETATM,1,C1,GAL,1,-4.702,-1.545,-7.107,97.44
HETATM,2,C2,GAL,1,-3.913,-0.252,-7.286,80.33
HETATM,3,C3,GAL,1,-2.529,-0.338,-6.665,71.66
HETATM,4,C4,GAL,1,-1.814,-1.584,-7.136,78.45
HETATM,5,C5,GAL,1,-2.689,-2.812,-6.879,76.13
HETATM,6,C6,GAL,1,-2.091,-4.126,-7.331,61.83
HETATM,7,OH1,GAL,1,-5.837,-1.471,-7.896,-1.0
HETATM,8,O2,GAL,1,-4.644,0.809,-6.685,-1.0
HETATM,9,OH3,GAL,1,-1.775,0.814,-7.061,-1.0
HETATM,10,O5,GAL,1,-3.914,-2.633,-7.608,-1.0
HETATM,11,OH6,GAL,1,-1.81,-4.131,-8.722,-1.0
HETATM,12,HO1,GAL,1,-6.557,-2.039,-7.307,-1.0
HETATM,13,HO3,GAL,1,-1.691,1.383,-6.136,-1.0
HETATM,14,HO6,GAL,1,-2.158,-4.832,-9.48,-1.0
HETATM,15,O4,GAL,1,-1.547,-1.373,-8.517,-1.0
HETATM,16,H5,GAL,1,-2.859,-2.91,-5.843,3.772
HETATM,17,H6R,GAL,1,-2.369,-5.066,-7.144,-1.0
HETATM,18,H6S,GAL,1,-1.183,-4.276,-6.822,-1.0
HETATM,19,H1,GAL,1,-4.948,-1.679,-6.054,4.775
HETATM,20,H2,GAL,1,-3.82,-0.073,-8.357,3.634
HETATM,21,H3,GAL,1,-2.632,-0.366,-5.58,3.715
HETATM,22,H4,GAL,1,-0.878,-1.767,-6.608,4.13
HETATM,23,C1,XYP,2,-5.17,1.804,-7.554,103.99
HETATM,24,C2,XYP,2,-6.063,2.787,-6.824,74.04
HETATM,25,C3,XYP,2,-6.59,3.818,-7.816,76.91
HETATM,26,C4,XYP,2,-5.417,4.529,-8.511,70.44
HETATM,27,C5,XYP,2,-4.512,3.442,-9.131,66.47
HETATM,28,OH2,XYP,2,-7.139,2.06,-6.21,-1.0
HETATM,29,OH3,XYP,2,-7.408,4.771,-7.133,-1.0
HETATM,30,O5,XYP,2,-4.087,2.483,-8.165,-1.0
HETATM,31,HO2,XYP,2,-7.892,2.734,-5.801,-1.0
HETATM,32,HO3,XYP,2,-8.455,4.587,-7.376,-1.0
HETATM,33,OH4,XYP,2,-5.876,5.43,-9.511,-1.0
HETATM,34,HO4,XYP,2,-6.233,6.346,-9.04,-1.0
HETATM,35,H5A,XYP,2,-3.622,3.966,-9.47,-1.0
HETATM,36,H5E,XYP,2,-4.895,2.95,-10.015,-1.0
HETATM,37,H4,XYP,2,-4.853,5.078,-7.758,3.632
HETATM,38,H3,XYP,2,-7.199,3.307,-8.562,3.445
HETATM,39,H2,XYP,2,-5.503,3.293,-6.038,3.303
HETATM,40,H1,XYP,2,-5.748,1.289,-8.322,4.714
HETATM,41,C1,XYP,3,-0.188,-1.437,-8.929,104.7
HETATM,42,C2,XYP,3,-0.04,-1.313,-10.432,74.5
HETATM,43,C3,XYP,3,1.438,-1.392,-10.798,74.97
HETATM,44,C4,XYP,3,2.224,-0.296,-10.06,77.64
HETATM,45,C5,XYP,3,1.925,-0.44,-8.551,64.29
HETATM,46,OH2,XYP,3,-0.787,-2.37,-11.055,-1.0
HETATM,47,OH3,XYP,3,1.594,-1.243,-12.212,-1.0
HETATM,48,O5,XYP,3,0.527,-0.402,-8.276,-1.0
HETATM,49,HO2,XYP,3,-0.591,-2.417,-12.126,-1.0
HETATM,50,HO3,XYP,3,1.841,-2.21,-12.65,-1.0
HETATM,51,O4,XYP,3,3.621,-0.403,-10.307,-1.0
HETATM,52,H5A,XYP,3,2.364,0.438,-8.085,-1.0
HETATM,53,H5E,XYP,3,2.391,-1.278,-8.051,-1.0
HETATM,54,H4,XYP,3,1.867,0.675,-10.404,3.811
HETATM,55,H3,XYP,3,1.819,-2.371,-10.507,3.562
HETATM,56,H2,XYP,3,-0.448,-0.362,-10.773,3.396
HETATM,57,H1,XYP,3,0.203,-2.401,-8.603,4.356
HETATM,58,C1,XYP,4,4.344,0.812,-10.458,103.08
HETATM,59,C2,XYP,4,5.843,0.598,-10.382,74.04
HETATM,60,C3,XYP,4,6.55,1.939,-10.548,76.92
HETATM,61,C4,XYP,4,6.139,2.59,-11.879,70.44
HETATM,62,C5,XYP,4,4.597,2.666,-11.906,66.47
HETATM,63,OH2,XYP,4,6.156,-0.001,-9.114,-1.0
HETATM,64,OH3,XYP,4,7.966,1.745,-10.511,-1.0
HETATM,65,O5,XYP,4,3.992,1.392,-11.702,-1.0
HETATM,66,HO2,XYP,4,7.233,-0.036,-8.946,-1.0
HETATM,67,HO3,XYP,4,8.354,2.108,-9.559,-1.0
HETATM,68,OH4,XYP,4,6.709,3.886,-12.02,-1.0
HETATM,69,HO4,XYP,4,7.754,3.793,-12.316,-1.0
HETATM,70,H5A,XYP,4,4.341,2.981,-12.915,-1.0
HETATM,71,H5E,XYP,4,4.145,3.411,-11.264,-1.0
HETATM,72,H4,XYP,4,6.48,1.952,-12.694,3.632
HETATM,73,H3,XYP,4,6.265,2.589,-9.721,3.429
HETATM,74,H2,XYP,4,6.166,-0.084,-11.168,3.256
HETATM,75,H1,XYP,4,4.031,1.477,-9.652,4.461
