DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OME / aNeu5Acv (2→3) β-d-Galiv (1→3) β-d-GlcNAciii (1→3) β-d-Galii (1→4) β-d-GlcNAcOMei,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1,2,3,3,4,5,6,6,7,8,9,9,Me_2,CO_2,Me_1,CO_5,Me_5
→4) β-d-GlcNAcOMei,102.66,55.92,73.37,,79.87,75.66,61.22,,,,,,23.04,175.33,57.8,,
Expected Calc. Error: 0.00,4.49,3.72,3.73,,3.69,3.6,3.84,4,,,,,2.04,,3.51,,
→3) β-d-Galii (1→,103.8,70.92,82.78,,69.09,75.78,61.74,,,,,,,,,,
Expected Calc. Error: 0.00,4.48,3.63,3.73,,4.14,3.72,3.77,3.79,,,,,,,,,
→3) β-d-GlcNAciii (1→,102.99,55.68,83.38,,69.57,76.15,61.83,,,,,,23.36,175.54,,,
Expected Calc. Error: 0.00,4.8,3.86,3.84,,3.56,3.51,3.78,3.92,,,,,2.03,,,,
→3) β-d-Galiv (1→,104.16,69.99,76.45,,68,76.24,61.8,,,,,,,,,,
Expected Calc. Error: 0.00,4.49,3.57,4.08,,3.95,3.62,3.81,3.84,,,,,,,,,
aNeu5Acv (2→,174.4,100.82,40.68,,69.08,52.71,73.82,,69.25,72.6,63.69,,,,,175.9,22.88
Expected Calc. Error: 0.00,,,1.79,2.78,3.73,3.84,3.69,,3.6,3.88,3.67,3.87,,,,,2.05
,,,,,,,,,,,,,,,,,
