Residual,Connection,Atom,Shift,Residual Num
RIB-OL, ,H11,4.09,1
RIB-OL, ,H12,3.97,1
RIB-OL, ,H2,3.96,1
RIB-OL, ,H3,3.81,1
RIB-OL, ,H4,4.18,1
RIB-OL, ,H51,4.17,1
RIB-OL, ,H52,4.09,1
B-D-GLCP,4,H1,4.66,2
B-D-GLCP,4,H2,3.32,2
B-D-GLCP,4,H3,3.5,2
B-D-GLCP,4,H4,3.4,2
B-D-GLCP,4,H5,3.43,2
B-D-GLCP,4,H61,3.9,2
B-D-GLCP,4,H62,3.72,2
RIB-OL, ,C1,68.0,1
RIB-OL, ,C2,71.8,1
RIB-OL, ,C3,72.5,1
RIB-OL, ,C4,80.4,1
RIB-OL, ,C5,65.8,1
B-D-GLCP,4,C1,103.6,2
B-D-GLCP,4,C2,74.6,2
B-D-GLCP,4,C3,77.0,2
B-D-GLCP,4,C4,70.9,2
B-D-GLCP,4,C5,77.1,2
B-D-GLCP,4,C6,62.0,2
