Residual,Connection,Atom,Shift
A-D-RHAP, ,H1,5.223
A-D-RHAP, ,H2,4.082
A-D-RHAP, ,H3,3.731
A-D-RHAP, ,H4,3.634
A-D-RHAP, ,H5,3.895
A-D-RHAP, ,H6,1.303
B-D-GALP,2,H1,4.34
B-D-GALP,2,H2,3.437
B-D-GALP,2,H3,3.708
B-D-GALP,2,H4,4.136
B-D-GALP,2,H5,3.636
B-D-GALP,2,H6,3.74
B-D-MANP," 2, 4",H1,4.85
B-D-MANP," 2, 4",H2,4.478
B-D-MANP," 2, 4",H3,3.779
B-D-MANP," 2, 4",H4,3.833
B-D-MANP," 2, 4",H5,3.379
B-D-MANP," 2, 4",H61,3.939
B-D-MANP," 2, 4",H62,3.784
A-D-GALPA," 2, 4, 2",H1,5.721
A-D-GALPA," 2, 4, 2",H2,3.963
A-D-GALPA," 2, 4, 2",H3,4.036
A-D-GALPA," 2, 4, 2",H4,4.309
A-D-GALPA," 2, 4, 2",H5,4.733
A-D-GLCPA," 2, 4, 2, 2",H1,5.321
A-D-GLCPA," 2, 4, 2, 2",H2,3.619
A-D-GLCPA," 2, 4, 2, 2",H3,3.826
A-D-GLCPA," 2, 4, 2, 2",H4,3.511
A-D-GLCPA," 2, 4, 2, 2",H5,4.154
A-D-RHAP, ,C1,92.89
A-D-RHAP, ,C2,77.31
A-D-RHAP, ,C3,70.92
A-D-RHAP, ,C4,73.36
A-D-RHAP, ,C5,69.4
A-D-RHAP, ,C6,18.02
B-D-GALP,2,C1,102.22
B-D-GALP,2,C2,71.66
B-D-GALP,2,C3,74.03
B-D-GALP,2,C4,76.11
B-D-GALP,2,C5,75.62
B-D-GALP,2,C6,62.89
B-D-MANP," 2, 4",C1,101.73
B-D-MANP," 2, 4",C2,73.92
B-D-MANP," 2, 4",C3,75.62
B-D-MANP," 2, 4",C4,68.24
B-D-MANP," 2, 4",C5,77.99
B-D-MANP," 2, 4",C6,62.26
A-D-GALPA," 2, 4, 2",C1,96.66
A-D-GALPA," 2, 4, 2",C2,73.18
A-D-GALPA," 2, 4, 2",C3,68.94
A-D-GALPA," 2, 4, 2",C4,72.09
A-D-GALPA," 2, 4, 2",C5,73.22
A-D-GLCPA," 2, 4, 2, 2",C1,96.87
A-D-GLCPA," 2, 4, 2, 2",C2,72.62
A-D-GLCPA," 2, 4, 2, 2",C3,74.17
A-D-GLCPA," 2, 4, 2, 2",C4,73.25
A-D-GLCPA," 2, 4, 2, 2",C5,73.6
