Residual,Connection,Atom,Shift
B-D-GLCP, ,H1,4.78
B-D-GLCP, ,H2,3.55
B-D-GLCP, ,H3,3.73
B-D-GLCP, ,H4,3.53
B-D-GLCP, ,H5,3.5
B-D-GLCP, ,H61,3.74
B-D-GLCP, ,H62,3.96
B-D-GLCP,3,H1,4.77
B-D-GLCP,3,H2,3.55
B-D-GLCP,3,H3,3.72
B-D-GLCP,3,H4,3.59
B-D-GLCP,3,H5,3.7
B-D-GLCP,3,H61,3.88
B-D-GLCP,3,H62,4.26
B-D-GLCP," 3, 6",H1,4.53
B-D-GLCP," 3, 6",H2,3.33
B-D-GLCP," 3, 6",H3,3.48
B-D-GLCP," 3, 6",H4,3.4
B-D-GLCP," 3, 6",H5,3.5
B-D-GLCP," 3, 6",H61,3.74
B-D-GLCP," 3, 6",H62,3.96
B-D-GLCP, ,C1,105.3
B-D-GLCP, ,C2,75.6
B-D-GLCP, ,C3,88.2
B-D-GLCP, ,C4,70.5
B-D-GLCP, ,C5,77
B-D-GLCP, ,C6,63.1
B-D-GLCP,3,C1,105.5
B-D-GLCP,3,C2,76.4
B-D-GLCP,3,C3,88.6
B-D-GLCP,3,C4,70.4
B-D-GLCP,3,C5,77.1
B-D-GLCP,3,C6,71
B-D-GLCP," 3, 6",C1,105.1
B-D-GLCP," 3, 6",C2,75.5
B-D-GLCP," 3, 6",C3,78.3
B-D-GLCP," 3, 6",C4,72.3
B-D-GLCP," 3, 6",C5,78.3
B-D-GLCP," 3, 6",C6,63.1
