Residual,Connection,Atom,Shift
B-D-FUCPNAC, ,H1,4.67
B-D-FUCPNAC, ,H2,3.95
B-D-FUCPNAC, ,H3,3.76
B-D-FUCPNAC, ,H4,3.87
B-D-FUCPNAC, ,H5,3.78
B-D-FUCPNAC, ,H6,1.24
A-L-GULPA,3,H1,5.18
A-L-GULPA,3,H2,3.6
A-L-GULPA,3,H3,4.19
A-L-GULPA,3,H4,4.22
A-L-GULPA,3,H5,4.69
A-D-GLCPNAC," 3, 4",H1,5.06
A-D-GLCPNAC," 3, 4",H2,3.98
A-D-GLCPNAC," 3, 4",H3,3.92
A-D-GLCPNAC," 3, 4",H4,3.61
A-D-GLCPNAC," 3, 4",H5,3.74
A-D-GLCPNAC," 3, 4",H61,3.72
A-D-GLCPNAC," 3, 4",H62,4.03
A-D-GLCPA," 3, 4, 6",H1,5
A-D-GLCPA," 3, 4, 6",H2,3.64
A-D-GLCPA," 3, 4, 6",H3,3.99
A-D-GLCPA," 3, 4, 6",H4,3.77
A-D-GLCPA," 3, 4, 6",H5,4.1
A-D-QUIP4N," 3, 4, 6, 4",H1,5.4
A-D-QUIP4N," 3, 4, 6, 4",H2,3.58
A-D-QUIP4N," 3, 4, 6, 4",H3,3.66
A-D-QUIP4N," 3, 4, 6, 4",H4,2.88
A-D-QUIP4N," 3, 4, 6, 4",H5,3.76
A-D-QUIP4N," 3, 4, 6, 4",H6,1.27
B-D-FUCPNAC, ,C1,96.4
B-D-FUCPNAC, ,C2,53.5
B-D-FUCPNAC, ,C3,82
B-D-FUCPNAC, ,C4,71.7
B-D-FUCPNAC, ,C5,72.05
B-D-FUCPNAC, ,C6,16.8
A-L-GULPA,3,C1,102.2
A-L-GULPA,3,C2,51.3
A-L-GULPA,3,C3,66.5
A-L-GULPA,3,C4,74.9
A-L-GULPA,3,C5,68.2
A-L-GULPA,3,C6,176
A-D-GLCPNAC," 3, 4",C1,96.6
A-D-GLCPNAC," 3, 4",C2,54.6
A-D-GLCPNAC," 3, 4",C3,72.1
A-D-GLCPNAC," 3, 4",C4,71
A-D-GLCPNAC," 3, 4",C5,72.3
A-D-GLCPNAC," 3, 4",C6,67
A-D-GLCPA," 3, 4, 6",C1,99.5
A-D-GLCPA," 3, 4, 6",C2,72.7
A-D-GLCPA," 3, 4, 6",C3,74.9
A-D-GLCPA," 3, 4, 6",C4,78.4
A-D-GLCPA," 3, 4, 6",C5,73.6
A-D-GLCPA," 3, 4, 6",C6,175.5
A-D-QUIP4N," 3, 4, 6, 4",C1,99.5
A-D-QUIP4N," 3, 4, 6, 4",C2,73.6
A-D-QUIP4N," 3, 4, 6, 4",C3,73.6
A-D-QUIP4N," 3, 4, 6, 4",C4,62.1
A-D-QUIP4N," 3, 4, 6, 4",C5,69.2
A-D-QUIP4N," 3, 4, 6, 4",C6,18.4
