0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) α-d-GlcOMei,99.92,71.98,72.59,79.88,71.16,61.07,,,,56.01
Expected Calc. Error: 0.19,4.81,3.61,3.8,3.63,3.76,3.85,3.93,,,3.44
"→3,6) β-d-Galii (1→",103.7,70.83,82.68,69.11,74.14,69.38,,,,
Expected Calc. Error: 0.35,4.38,3.58,3.66,4.08,3.77,3.69,3.98,,,
"→3,4) β-d-GlcNAciii (1→",101.95,56.53,75.63,74.54,76.33,60.84,,23.08,174.98,
Expected Calc. Error: 1.17,4.63,3.92,3.93,3.92,3.63,3.88,4.03,2.04,,
β-d-Galiv (1→,102.71,72.0,73.52,69.22,75.72,62.17,,,,
Expected Calc. Error: 0.50,4.46,3.51,3.66,3.93,3.61,3.74,3.74,,,
α-l-Fucv (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
→4) β-d-GlcNAcvi (1→,103.24,56.31,72.93,77.11,75.99,61.15,,23.25,175.47,
Expected Calc. Error: 0.42,4.74,3.79,3.7,3.77,3.5,3.84,3.95,2.04,,
→2) β-d-Galvii (1→,101.27,77.32,74.48,70.0,76.05,61.84,,,,
Expected Calc. Error: 0.42,4.54,3.7,3.87,3.92,3.7,3.76,3.76,,,
α-l-Fucviii (1→,100.22,69.22,70.66,72.6,67.72,16.08,,,,
Expected Calc. Error: 0.25,5.31,3.81,3.79,3.81,4.22,1.23,,,,
