0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→3,6) α-d-GalNAcOMei",99.14,49.37,78.19,69.47,69.79,69.86,,22.96,175.32,56.03
Expected Calc. Error: 1.79,4.77,4.33,3.96,4.19,4.01,3.78,4.02,2.02,,3.38
→4) β-d-GlcNAcii (1→,102.13,55.99,73.16,79.83,75.62,61.17,,23.02,175.2,
Expected Calc. Error: 0.41,4.61,3.76,3.75,3.7,3.62,3.86,4.01,2.04,,
→3) β-d-Galiii (1→,103.8,70.92,82.78,69.09,75.78,61.74,,,,
Expected Calc. Error: 0.17,4.48,3.63,3.73,4.14,3.72,3.77,3.79,,,
β-d-GlcNAciv (1→,103.24,56.75,74.62,70.85,76.6,61.84,,23.27,175.49,
Expected Calc. Error: 0.00,4.74,3.73,3.59,3.47,3.47,3.76,3.91,2.04,,
→4) β-d-GlcNAcv (1→,103.66,56.14,73.15,79.66,75.61,61.04,,23.08,175.47,
Expected Calc. Error: 1.67,4.63,3.75,3.69,3.69,3.57,3.85,3.95,2.06,,
→3) β-d-Galvi (1→,103.8,70.92,82.78,69.09,75.78,61.74,,,,
Expected Calc. Error: 0.17,4.48,3.63,3.73,4.14,3.72,3.77,3.79,,,
β-d-GlcNAcvii (1→,103.24,56.75,74.62,70.85,76.6,61.84,,23.27,175.49,
Expected Calc. Error: 0.00,4.74,3.73,3.59,3.47,3.47,3.76,3.91,2.04,,
