0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcNAcOMei,102.65,55.78,73.47,80.61,75.42,61.17,,23.02,175.34,57.82
Expected Calc. Error: 0.00,4.45,3.71,3.71,3.59,3.52,3.67,3.86,2.03,,3.5
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.67,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,6) β-d-Maniii (1→",101.27,71.14,81.91,66.77,76.04,67.06,,,,
Expected Calc. Error: 8.08,4.76,4.24,3.78,3.79,3.63,3.77,4.03,,,
→2) α-d-Maniv (1→,97.88,77.75,70.55,68.3,73.8,62.37,,,,
Expected Calc. Error: 5.00,4.92,4.08,3.85,3.55,3.65,3.71,3.9,,,
→3) β-d-GlcNAcv (1→,101.38,55.5,78.31,69.58,76.43,61.96,,23.28,175.5,
Expected Calc. Error: 5.00,4.51,3.8,4.01,3.51,3.48,3.78,3.93,2.04,,
→2) β-d-Galvi (1→,101.11,77.44,74.51,70.03,75.68,61.76,,,,
Expected Calc. Error: 0.00,4.64,3.62,3.84,3.92,3.68,3.82,3.9,,,
α-l-Fucvii (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,
Expected Calc. Error: 0.00,5.21,3.8,3.71,3.78,4.3,1.2,,,,
→2) α-d-Manviii (1→,100.21,77.76,70.3,68.23,74.21,62.42,,,,
Expected Calc. Error: 2.42,5.13,4.15,3.89,3.56,3.69,3.7,3.88,,,
→3) β-d-GlcNAcix (1→,101.27,55.38,78.23,69.55,76.43,61.95,,23.27,175.52,
Expected Calc. Error: 1.36,4.47,3.8,4.0,3.51,3.47,3.78,3.93,2.04,,
→2) β-d-Galx (1→,101.11,77.44,74.51,70.03,75.68,61.76,,,,
Expected Calc. Error: 0.00,4.64,3.62,3.84,3.92,3.68,3.82,3.9,,,
α-l-Fucxi (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,
Expected Calc. Error: 0.00,5.21,3.8,3.71,3.78,4.3,1.2,,,,
