Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
HETATM,1,C1,GDL,1,0.022,2.359,-1.967,98.7
HETATM,2,C2,GDL,1,-1.339,2.006,-2.56,54.5
HETATM,3,C3,GDL,1,-2.255,1.357,-1.536,70.0
HETATM,4,C4,GDL,1,-1.55,0.212,-0.845,79.8
HETATM,5,C5,GDL,1,-0.218,0.694,-0.27,71.9
HETATM,6,C6,GDL,1,0.597,-0.37,0.43,60.7
HETATM,7,OH3,GDL,1,-3.415,0.856,-2.211,-1.0
HETATM,8,O4,GDL,1,-2.335,-0.3,0.221,-1.0
HETATM,9,O5,GDL,1,0.576,1.184,-1.363,-1.0
HETATM,10,OH6,GDL,1,0.914,-1.45,-0.435,-1.0
HETATM,11,HO3,GDL,1,-4.206,1.523,-1.869,-1.0
HETATM,12,HO6,GDL,1,1.896,-1.853,-0.683,-1.0
HETATM,13,OH1,GDL,1,0.009,3.394,-0.992,-1.0
HETATM,14,HO1,GDL,1,-0.624,3.098,-0.156,-1.0
HETATM,15,H5,GDL,1,-0.398,1.444,0.45,3.84
HETATM,16,H6S,GDL,1,1.402,-0.295,1.015,-1.0
HETATM,17,H6R,GDL,1,0.032,-0.757,1.228,-1.0
HETATM,18,H1,GDL,1,0.672,2.745,-2.753,5.25
HETATM,19,H3,GDL,1,-2.543,2.106,-0.798,3.82
HETATM,20,H4,GDL,1,-1.386,-0.571,-1.585,3.73
HETATM,21,H2,GDL,1,-1.164,1.312,-3.382,3.94
HETATM,22,N2,GDL,1,-1.947,3.215,-3.063,-1.0
HETATM,23,CO2,GDL,1,-1.678,3.638,-4.34,-1.0
HETATM,24,CM2,GDL,1,-2.382,4.925,-4.726,-1.0
HETATM,25,OC2,GDL,1,-0.94,3.058,-5.113,-1.0
HETATM,26,HN2,GDL,1,-2.584,3.76,-2.464,-1.0
HETATM,27,1HM2,GDL,1,-2.135,5.215,-5.772,-1.0
HETATM,28,2HM2,GDL,1,-2.065,5.755,-4.054,-1.0
HETATM,29,3HM2,GDL,1,-3.487,4.799,-4.654,-1.0
HETATM,30,C1,BMA,2,-2.69,-1.636,0.154,100.0
HETATM,31,C2,BMA,2,-3.341,-2.023,1.478,54.2
HETATM,32,C3,BMA,2,-3.995,-3.393,1.414,73.5
HETATM,33,C4,BMA,2,-4.907,-3.488,0.212,74.0
HETATM,34,C5,BMA,2,-4.138,-3.105,-1.053,75.9
HETATM,35,C6,BMA,2,-4.951,-3.138,-2.329,61.3
HETATM,36,OH3,BMA,2,-4.767,-3.59,2.605,-1.0
HETATM,37,OH4,BMA,2,-5.4,-4.808,0.049,-1.0
HETATM,38,O5,BMA,2,-3.669,-1.757,-0.887,-1.0
HETATM,39,OH6,BMA,2,-6.066,-2.262,-2.27,-1.0
HETATM,40,HO3,BMA,2,-4.203,-4.353,3.14,-1.0
HETATM,41,HO4,BMA,2,-6.384,-4.89,0.511,-1.0
HETATM,42,HO6,BMA,2,-6.328,-1.453,-2.952,-1.0
HETATM,43,H5,BMA,2,-3.342,-3.782,-1.198,3.54
HETATM,44,H6S,BMA,2,-4.667,-3.093,-3.284,-1.0
HETATM,45,H6R,BMA,2,-5.32,-4.113,-2.468,-1.0
HETATM,46,H2,BMA,2,-2.555,-2.031,2.233,4.51
HETATM,47,H3,BMA,2,-3.216,-4.151,1.34,4.04
HETATM,48,H1,BMA,2,-1.829,-2.277,-0.03,4.88
HETATM,49,H4,BMA,2,-5.741,-2.805,0.373,3.68
HETATM,50,N2,BMA,2,-4.333,-1.028,1.815,-1.0
HETATM,51,CO2,BMA,2,-4.486,-0.626,3.117,-1.0
HETATM,52,CM2,BMA,2,-5.569,0.417,3.318,-1.0
HETATM,53,OC2,BMA,2,-3.831,-1.053,4.048,-1.0
HETATM,54,HN2,BMA,2,-4.925,-0.621,1.077,-1.0
HETATM,55,1HM2,BMA,2,-5.643,0.713,4.39,-1.0
HETATM,56,2HM2,BMA,2,-6.558,0.012,3.003,-1.0
HETATM,57,3HM2,BMA,2,-5.343,1.331,2.722,-1.0
