Residual,Connection,Atom,Shift,Residual Num
allyl, ,H11,4.29,1
allyl, ,H12,4.14,1
allyl, ,H2,5.98,1
allyl, ,H31,5.24,1
allyl, ,H32,5.35,1
b-D-GlcpNAc,1,H1,4.53,2
b-D-GlcpNAc,1,H2,3.7,2
b-D-GlcpNAc,1,H3,3.49,2
b-D-GlcpNAc,1,H4,3.43,2
b-D-GlcpNAc,1,H5,3.56,2
b-D-GlcpNAc,1,H61,3.58,2
b-D-GlcpNAc,1,H62,3.6,2
b-D-GlcpNAc,1,NAC,2.01,2
a-D-Kdop," 6,1",H31,1.79,3
a-D-Kdop," 6,1",H32,2.06,3
a-D-Kdop," 6,1",H4,4.07,3
a-D-Kdop," 6,1",H5,4.01,3
a-D-Kdop," 6,1",H6,3.66,3
a-D-Kdop," 6,1",H7,3.94,3
a-D-Kdop," 6,1",H81,3.63,3
a-D-Kdop," 6,1",H82,3.92,3
allyl, ,C1,71.4,1
allyl, ,C2,134.3,1
allyl, ,C3,118.7,1
b-D-GlcpNAc,1,C1,101.0,2
b-D-GlcpNAc,1,C2,56.3,2
b-D-GlcpNAc,1,C3,74.8,2
b-D-GlcpNAc,1,C4,71.3,2
b-D-GlcpNAc,1,C5,75.0,2
b-D-GlcpNAc,1,C6,62.8,2
b-D-GlcpNAc,1,CO,176.0,2
b-D-GlcpNAc,1,CH3,23.0,2
a-D-Kdop," 6,1",C1,175.7,3
a-D-Kdop," 6,1",C2,100.7,3
a-D-Kdop," 6,1",C3,34.9,3
a-D-Kdop," 6,1",C4,66.9,3
a-D-Kdop," 6,1",C5,67.1,3
a-D-Kdop," 6,1",C6,72.4,3
a-D-Kdop," 6,1",C7,70.3,3
a-D-Kdop," 6,1",C8,64.1,3
