Residual,Connection,Atom,Shift,Residual Num
B-D-GLCP1OME, ,H1,4.38,1
B-D-GLCP1OME, ,H2,3.4,1
B-D-GLCP1OME, ,H3,3.61,1
B-D-GLCP1OME, ,H4,3.46,1
B-D-GLCP1OME, ,H5,3.51,1
B-D-GLCP1OME, ,H6a,3.74,1
B-D-GLCP1OME, ,H6b,3.93,1
A-L-RHAP,3,H1,5.14,2
A-L-RHAP,3,H2,4.06,2
A-L-RHAP,3,H3,3.8,2
A-L-RHAP,3,H4,3.47,2
A-L-RHAP,3,H5,4.0,2
A-L-RHAP,3,H6,1.27,2
B-D-GLCP1OME, ,C1,104.4,1
B-D-GLCP1OME, ,C2,74.8,1
B-D-GLCP1OME, ,C3,83.9,1
B-D-GLCP1OME, ,C4,69.7,1
B-D-GLCP1OME, ,C5,77.2,1
B-D-GLCP1OME, ,C6,62.3,1
B-D-GLCP1OME, ,OMe,58.3,1
A-L-RHAP,3,C1,102.2,2
A-L-RHAP,3,C2,71.7,2
A-L-RHAP,3,C3,71.6,2
A-L-RHAP,3,C4,73.4,2
A-L-RHAP,3,C5,70.1,2
A-L-RHAP,3,C6,17.8,2
