Residual,Connection,Atom,Shift,Residual Num
B-D-GLC1OME, ,H1,4.47,1
B-D-GLC1OME, ,H2,3.56,1
B-D-GLC1OME, ,H3,3.7,1
B-D-GLC1OME, ,H4,3.4,1
B-D-GLC1OME, ,H5,3.48,1
B-D-GLC1OME, ,H61,3.73,1
B-D-GLC1OME, ,H62,3.91,1
B-D-GALP,2,H1,4.7,2
B-D-GALP,2,H2,3.56,2
B-D-GALP,2,H3,3.65,2
B-D-GALP,2,H4,3.93,2
B-D-GALP,2,H5,3.64,2
B-D-GALP,2,H61,3.75,2
B-D-GALP,2,H62,3.8,2
B-D-GLC1OME, ,C1,103.1,1
B-D-GLC1OME, ,C2,81.5,1
B-D-GLC1OME, ,C3,77.0,1
B-D-GLC1OME, ,C4,70.9,1
B-D-GLC1OME, ,C5,77.2,1
B-D-GLC1OME, ,C6,62.1,1
B-D-GLC1OME, ,OMe,58.1,1
B-D-GALP,2,C1,104.3,2
B-D-GALP,2,C2,72.7,2
B-D-GALP,2,C3,74.0,2
B-D-GALP,2,C4,70.0,2
B-D-GALP,2,C5,76.4,2
B-D-GALP,2,C6,62.1,2
