DGalpb1-4(LFucpa1-3)DGlcpNAcb1-6(LFucpa1-2DGalpb1-4DGlcpNAcb1-3)DGalpb1-4DGlcpb1-OME / α-l-Fucviii (1→2) β-d-Galvii (1→4) β-d-GlcNAcvi (1→3) [α-l-Fucv (1→3) [β-d-Galiv (1→4) ]β-d-GlcNAciii (1→6) ]β-d-Galii (1→4) β-d-GlcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58
"→3,6) β-d-Galii (1→",103.69,70.83,82.66,69.11,74.25,69.54,,,,
Expected Calc. Error: 0.17,4.45,3.62,3.72,4.12,3.81,3.8,4.05,,,
"→3,4) β-d-GlcNAciii (1→",101.95,56.53,75.63,74.54,76.33,60.84,,23.08,174.98,
Expected Calc. Error: 1.17,4.63,3.92,3.93,3.92,3.63,3.88,4.03,2.04,,
β-d-Galiv (1→,102.71,72,73.52,69.22,75.72,62.17,,,,
Expected Calc. Error: 0.50,4.46,3.51,3.66,3.93,3.61,3.74,3.74,,,
α-l-Fucv (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
→4) β-d-GlcNAcvi (1→,103.24,56.31,72.93,77.11,75.99,61.15,,23.25,175.47,
Expected Calc. Error: 0.42,4.74,3.79,3.7,3.77,3.5,3.84,3.95,2.04,,
→2) β-d-Galvii (1→,101.27,77.32,74.48,70,76.05,61.84,,,,
Expected Calc. Error: 0.42,4.54,3.7,3.87,3.92,3.7,3.76,3.76,,,
α-l-Fucviii (1→,100.22,69.22,70.66,72.6,67.72,16.08,,,,
Expected Calc. Error: 0.25,5.31,3.81,3.79,3.81,4.22,1.23,,,,
,,,,,,,,,,
