DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6(DGlcpNAcb1-3)DGalpb1-4DGlcpNAca1-OME / β-d-GlcNAcvi (1→3) [β-d-GlcNAcv (1→3) β-d-Galiv (1→4) β-d-GlcNAciii (1→6) ]β-d-Galii (1→4) α-d-GlcNAcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
→4) α-d-GlcNAcOMei,98.87,54.29,70.53,80.04,71.53,61.01,,22.85,175.11,55.99
Expected Calc. Error: 0.24,4.82,3.95,3.88,3.72,3.81,3.86,3.95,2.06,,3.43
"→3,6) β-d-Galii (1→",103.68,70.83,82.63,69.1,74.27,69.53,,,,
Expected Calc. Error: 0.35,4.47,3.62,3.72,4.12,3.81,3.8,4.03,,,
→4) β-d-GlcNAciii (1→,102.13,55.99,73.16,79.83,75.62,61.17,,23.02,175.2,
Expected Calc. Error: 0.33,4.61,3.76,3.75,3.7,3.62,3.86,4.01,2.04,,
→3) β-d-Galiv (1→,103.8,70.92,82.78,69.09,75.78,61.74,,,,
Expected Calc. Error: 0.17,4.48,3.63,3.73,4.14,3.72,3.77,3.79,,,
β-d-GlcNAcv (1→,103.24,56.75,74.62,70.85,76.6,61.84,,23.27,175.49,
Expected Calc. Error: 0.00,4.74,3.73,3.59,3.47,3.47,3.76,3.91,2.04,,
β-d-GlcNAcvi (1→,103.24,56.75,74.62,70.85,76.6,61.84,,23.27,175.49,
Expected Calc. Error: 0.00,4.74,3.73,3.59,3.47,3.47,3.76,3.91,2.04,,
,,,,,,,,,,
