DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpNAca1-OME / β-d-Galv (1→4) β-d-GlcNAciv (1→3) β-d-Galiii (1→4) β-d-GlcNAcii (1→3) α-d-GalNAcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
→3) α-d-GalNAcOMei,99.26,49.46,78.34,69.46,71.3,62.07,,22.96,175.32,56.08
Expected Calc. Error: 1.55,4.79,4.33,3.97,4.21,3.92,3.75,3.77,2.02,,3.4
→4) β-d-GlcNAcii (1→,103.66,56.14,73.15,79.66,75.61,61.04,,23.08,175.47,
Expected Calc. Error: 1.67,4.63,3.75,3.69,3.69,3.57,3.85,3.95,2.06,,
→3) β-d-Galiii (1→,103.8,70.92,82.78,69.09,75.78,61.74,,,,
Expected Calc. Error: 0.17,4.48,3.63,3.73,4.14,3.72,3.77,3.79,,,
→4) β-d-GlcNAciv (1→,103.14,56.28,73.09,79.66,75.47,61.24,,23.25,175.47,
Expected Calc. Error: 0.17,4.77,3.78,3.76,3.71,3.62,3.85,3.98,2.04,,
β-d-Galv (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
,,,,,,,,,,
