DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6(DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3)DGalpNAca1-OME / aNeu5Acxi (2→6) β-d-Galx (1→4) β-d-GlcNAcix (1→3) β-d-Galviii (1→4) β-d-GlcNAcvii (1→3) [aNeu5Acvi (2→6) β-d-Galv (1→4) β-d-GlcNAciv (1→3) β-d-Galiii (1→4) β-d-GlcNAcii (1→6) ]α-d-GalNAcOMei,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1,2,3,3,4,5,6,6,7,8,9,9,Me_2,CO_2,Me_1,CO_5,Me_5
"→3,6) α-d-GalNAcOMei",99.14,49.37,78.19,,69.47,69.79,69.86,,,,,,22.96,175.32,56.03,,
Expected Calc. Error: 1.79,4.77,4.33,3.96,,4.19,4.01,3.78,4.02,,,,,2.02,,3.38,,
→4) β-d-GlcNAcii (1→,102.13,55.99,73.16,,79.83,75.62,61.17,,,,,,23.02,175.2,,,
Expected Calc. Error: 0.41,4.61,3.76,3.75,,3.7,3.62,3.86,4.01,,,,,2.04,,,,
→3) β-d-Galiii (1→,103.8,70.92,82.78,,69.09,75.78,61.74,,,,,,,,,,
Expected Calc. Error: 0.17,4.48,3.63,3.73,,4.14,3.72,3.77,3.79,,,,,,,,,
→4) β-d-GlcNAciv (1→,103.14,56.28,73.09,,79.66,75.47,61.24,,,,,,23.25,175.47,,,
Expected Calc. Error: 0.17,4.77,3.78,3.76,,3.71,3.62,3.85,3.98,,,,,2.04,,,,
→6) β-d-Galv (1→,103.89,71.78,73.4,,69,74.88,64.18,,,,,,,,,,
Expected Calc. Error: 0.17,4.47,3.55,3.67,,3.94,3.75,3.72,4.03,,,,,,,,,
aNeu5Acvi (2→,174.03,101.34,40.97,,69.18,52.8,73.43,,69.49,72.66,63.74,,,,,175.78,22.9
Expected Calc. Error: 0.00,,,1.72,2.73,3.7,3.84,3.73,,3.58,3.89,3.67,3.88,,,,,2.04
→4) β-d-GlcNAcvii (1→,103.66,56.14,73.15,,79.66,75.61,61.04,,,,,,23.08,175.47,,,
Expected Calc. Error: 1.67,4.63,3.75,3.69,,3.69,3.57,3.85,3.95,,,,,2.06,,,,
→3) β-d-Galviii (1→,103.8,70.92,82.78,,69.09,75.78,61.74,,,,,,,,,,
Expected Calc. Error: 0.17,4.48,3.63,3.73,,4.14,3.72,3.77,3.79,,,,,,,,,
→4) β-d-GlcNAcix (1→,103.14,56.28,73.09,,79.66,75.47,61.24,,,,,,23.25,175.47,,,
Expected Calc. Error: 0.17,4.77,3.78,3.76,,3.71,3.62,3.85,3.98,,,,,2.04,,,,
→6) β-d-Galx (1→,103.89,71.78,73.4,,69,74.88,64.18,,,,,,,,,,
Expected Calc. Error: 0.17,4.47,3.55,3.67,,3.94,3.75,3.72,4.03,,,,,,,,,
aNeu5Acxi (2→,174.03,101.34,40.97,,69.18,52.8,73.43,,69.49,72.66,63.74,,,,,175.78,22.9
Expected Calc. Error: 0.00,,,1.72,2.73,3.7,3.84,3.73,,3.58,3.89,3.67,3.88,,,,,2.04
,,,,,,,,,,,,,,,,,
