DGalpb1-4DGlcpNAcb1-6(DGalpb1-4DGlcpNAcb1-3)DGalpNAca1-OME / β-d-Galv (1→4) β-d-GlcNAciv (1→3) [β-d-Galiii (1→4) β-d-GlcNAcii (1→6) ]α-d-GalNAcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
"→3,6) α-d-GalNAcOMei",99.14,49.37,78.19,69.47,69.79,69.86,,22.96,175.32,56.03
Expected Calc. Error: 1.79,4.77,4.33,3.96,4.19,4.01,3.78,4.02,2.02,,3.38
→4) β-d-GlcNAcii (1→,102.13,55.99,73.16,79.83,75.62,61.17,,23.02,175.2,
Expected Calc. Error: 0.41,4.61,3.76,3.75,3.7,3.62,3.86,4.01,2.04,,
β-d-Galiii (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
→4) β-d-GlcNAciv (1→,103.66,56.14,73.15,79.66,75.61,61.04,,23.08,175.47,
Expected Calc. Error: 1.67,4.63,3.75,3.69,3.69,3.57,3.85,3.95,2.06,,
β-d-Galv (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
,,,,,,,,,,
