Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z
ATOM,2,O3,BGAL,1,2.063,-0.925,-6.611
ATOM,3,C1,BGAL,1,5.227,0.338,-8.248
ATOM,4,O1,BGAL,1,6.532,0.436,-7.779
ATOM,5,CM,BGAL,1,7.112,-0.854,-7.570
ATOM,6,HM1,BGAL,1,8.019,-0.751,-7.011
ATOM,7,HM2,BGAL,1,7.324,-1.305,-8.516
ATOM,8,HM3,BGAL,1,6.425,-1.471,-7.028
ATOM,9,H1,BGAL,1,5.227,-0.208,-9.207
ATOM,10,C5,BGAL,1,3.337,1.774,-8.944
ATOM,11,H5,BGAL,1,3.271,1.274,-9.929
ATOM,12,O5,BGAL,1,4.702,1.679,-8.463
ATOM,13,C2,BGAL,1,4.345,-0.412,-7.222
ATOM,14,H2,BGAL,1,4.452,0.078,-6.233
ATOM,15,O2,BGAL,1,4.776,-1.748,-7.109
ATOM,16,HO2,BGAL,1,4.208,-2.177,-6.442
ATOM,17,H3,BGAL,1,2.727,-0.987,-8.546
ATOM,18,C4,BGAL,1,2.367,1.065,-7.950
ATOM,19,H4,BGAL,1,1.340,1.021,-8.364
ATOM,20,O4,BGAL,1,2.336,1.802,-6.750
ATOM,21,HO4,BGAL,1,1.737,1.334,-6.141
ATOM,22,C6,BGAL,1,3.018,3.281,-9.160
ATOM,23,H61,BGAL,1,3.805,3.735,-9.772
ATOM,24,H62,BGAL,1,3.014,3.809,-8.202
ATOM,25,O6,BGAL,1,1.778,3.456,-9.811
ATOM,26,HO6,BGAL,1,1.654,4.401,-9.918
ATOM,27,C1,AGAL,2,1.362,-2.078,-7.061
ATOM,28,H1,AGAL,2,0.889,-1.754,-7.989
ATOM,29,C5,AGAL,2,3.017,-3.513,-6.106
ATOM,30,H5,AGAL,2,3.462,-2.689,-5.621
ATOM,31,O5,AGAL,2,2.319,-3.118,-7.298
ATOM,32,C2,AGAL,2,0.297,-2.606,-6.104
ATOM,33,H2,AGAL,2,-0.250,-3.389,-6.629
ATOM,34,O2,AGAL,2,-0.586,-1.541,-5.778
ATOM,35,HO2,AGAL,2,-1.523,-1.538,-6.335
ATOM,36,C3,AGAL,2,0.905,-3.177,-4.834
ATOM,37,H3,AGAL,2,1.320,-2.359,-4.244
ATOM,38,O3,AGAL,2,-0.123,-3.849,-4.095
ATOM,39,HO3,AGAL,2,-0.266,-3.201,-3.230
ATOM,40,C4,AGAL,2,2.000,-4.164,-5.168
ATOM,41,H4,AGAL,2,2.564,-4.492,-4.294
ATOM,42,O4,AGAL,2,1.343,-5.280,-5.754
ATOM,43,HO4,AGAL,2,0.627,-5.696,-5.045
ATOM,44,C6,AGAL,2,4.156,-4.411,-6.534
ATOM,45,H61,AGAL,2,5.014,-4.198,-6.997
ATOM,46,H62,AGAL,2,4.677,-4.727,-5.678
ATOM,47,O6,AGAL,2,3.692,-5.571,-7.208
ATOM,48,HO6,AGAL,2,3.962,-5.931,-8.200
