Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z
ATOM,1,C1,DGalNAc,1,1.374,-0.843,0.163
ATOM,2,C2,DGalNAc,1,0.732,-0.633,1.531
ATOM,3,C3,DGalNAc,1,-0.774,-0.827,1.489
ATOM,4,C4,DGalNAc,1,-1.383,-0.008,0.373
ATOM,5,C5,DGalNAc,1,-0.678,-0.325,-0.946
ATOM,6,C6,DGalNAc,1,-1.184,0.452,-2.142
ATOM,7,O3,DGalNAc,1,-1.327,-0.399,2.740
ATOM,8,O5,DGalNAc,1,0.712,0.002,-0.787
ATOM,9,O6,DGalNAc,1,-1.054,1.853,-1.957
ATOM,12,O1,DGalNAc,1,1.334,-2.177,-0.328
ATOM,13,O4,DGalNAc,1,-1.232,1.349,0.769
ATOM,14,HO4,DGalNAc,1,-1.746,1.512,1.716
ATOM,15,H5,DGalNAc,1,-0.817,-1.344,-1.181
ATOM,16,H61,DGalNAc,1,-1.015,0.327,-3.117
ATOM,17,H62,DGalNAc,1,-2.205,0.240,-2.274
ATOM,18,H1,DGalNAc,1,2.439,-0.615,0.222
ATOM,19,H2,DGalNAc,1,0.959,0.386,1.842
ATOM,20,H3,DGalNAc,1,-0.989,-1.883,1.324
ATOM,21,H4,DGalNAc,1,-2.439,-0.224,0.209
ATOM,22,NM,DGalNAc,1,1.310,-1.554,2.447
ATOM,23,CM,DGalNAc,1,2.024,-1.094,3.523
ATOM,24,CM2,DGalNAc,1,2.585,-2.191,4.407
ATOM,25,OM,DGalNAc,1,2.212,0.083,3.768
ATOM,26,HM1,DGalNAc,1,1.192,-2.567,2.302
ATOM,27,HM2,DGalNAc,1,3.146,-1.760,5.268
ATOM,28,HM3,DGalNAc,1,3.286,-2.834,3.826
ATOM,29,HM4,DGalNAc,1,1.762,-2.822,4.813
ATOM,30,CM,DGalNAc,1,1.958,-2.282,-1.609
ATOM,31,HM1,DGalNAc,1,1.797,-3.264,-2.006
ATOM,32,HM2,DGalNAc,1,3.008,-2.106,-1.507
ATOM,33,HM3,DGalNAc,1,1.538,-1.555,-2.273
ATOM,34,C1,DGlcNAc,2,-0.749,2.510,-3.170
ATOM,35,C2,DGlcNAc,2,-0.823,4.040,-2.962
ATOM,36,C3,DGlcNAc,2,-0.309,4.762,-4.226
ATOM,37,C4,DGlcNAc,2,1.107,4.281,-4.623
ATOM,38,C5,DGlcNAc,2,1.158,2.726,-4.727
ATOM,39,C6,DGlcNAc,2,2.583,2.178,-4.919
ATOM,41,O3,DGlcNAc,2,-0.285,6.160,-3.972
ATOM,42,O4,DGlcNAc,2,1.438,4.884,-5.869
ATOM,43,O5,DGlcNAc,2,0.602,2.115,-3.517
ATOM,44,O6,DGlcNAc,2,3.358,2.378,-3.738
ATOM,46,HO3,DGlcNAc,2,-1.082,6.322,-3.456
ATOM,48,HO6,DGlcNAc,2,2.731,2.299,-3.011
ATOM,49,H1,DGlcNAc,2,-1.459,2.186,-3.959
ATOM,50,H2,DGlcNAc,2,-0.179,4.311,-2.102
ATOM,51,H3,DGlcNAc,2,-1.008,4.561,-5.063
ATOM,52,H4,DGlcNAc,2,1.828,4.615,-3.851
ATOM,53,H5,DGlcNAc,2,0.553,2.417,-5.603
ATOM,54,H61,DGlcNAc,2,2.539,1.097,-5.152
ATOM,55,H62,DGlcNAc,2,3.078,2.658,-5.785
ATOM,56,NM,DGlcNAc,2,-2.165,4.431,-2.692
ATOM,57,CM,DGlcNAc,2,-2.475,5.042,-1.504
ATOM,58,CM2,DGlcNAc,2,-3.942,5.394,-1.355
ATOM,59,OM,DGlcNAc,2,-1.667,5.288,-0.629
ATOM,60,HM1,DGlcNAc,2,-2.903,4.253,-3.388
ATOM,61,HM2,DGlcNAc,2,-4.134,5.896,-0.378
